Alter;Geschlecht;Einkommen;Internet_Affinit‰t;Dating_App;Partnersuche;Wohngegend
39;m;140440;9;no;yes;Dorf
39;m;123599;9;no;no;Dorf
41;w;173990;9;no;yes;Dorf
41;w;153630;9;no;yes;Dorf
40;m;133733;8;no;yes;Dorf
40;w;116374;10;no;yes;Dorf
40;w;155415;9;no;yes;Dorf
40;w;164806;9;no;yes;Kleinstadt
39;w;141977;9;no;yes;Dorf
40;w;144768;9;no;yes;Dorf
41;w;167649;9;no;yes;Groﬂstadt
40;w;147643;9;yes;yes;Land
38;w;143582;9;no;yes;Dorf
40;w;149190;9;no;yes;Dorf
41;m;149810;9;no;yes;Dorf
41;w;139412;9;no;no;Land
39;w;168654;9;no;yes;Dorf
40;w;152031;9;no;yes;Dorf
41;w;149699;9;no;yes;Dorf
39;w;156702;10;no;yes;Dorf
41;w;144114;9;no;yes;Kleinstadt
39;w;154687;9;no;yes;Dorf
41;w;173636;8;no;yes;Dorf
41;w;133372;9;no;no;Dorf
42;w;156479;8;no;yes;Dorf
41;w;133688;9;yes;yes;Dorf
41;w;160179;9;no;yes;Dorf
39;w;143765;9;no;yes;Dorf
38;w;166532;9;no;yes;Dorf
39;w;160622;9;no;yes;Dorf
40;w;165658;9;no;yes;Kleinstadt
41;w;162918;9;no;yes;Dorf
39;w;186985;9;no;yes;Dorf
39;m;142063;8;no;yes;Kleinstadt
40;w;154867;9;no;yes;Dorf
41;w;139781;9;no;yes;Dorf
39;w;135292;9;no;no;Vorstadt
40;w;136302;9;no;yes;Dorf
38;w;116514;9;no;yes;Kleinstadt
39;w;121968;9;no;yes;Vorstadt
39;w;123211;8;no;yes;Dorf
40;w;150052;9;no;no;Dorf
41;w;153436;9;no;yes;Vorstadt
39;w;169326;9;no;yes;Dorf
40;w;173704;9;yes;yes;Dorf
41;w;134468;8;no;yes;Land
40;w;146210;9;no;yes;Dorf
40;w;163905;9;no;no;Dorf
40;w;117115;9;no;yes;Dorf
39;w;156912;8;no;yes;Land
39;w;169552;9;no;yes;Dorf
40;w;162961;9;no;yes;Dorf
41;w;149832;9;no;yes;Kleinstadt
39;w;132702;9;yes;yes;Land
39;w;207780;9;no;yes;Dorf
40;w;136886;10;no;yes;Dorf
39;w;148029;9;no;yes;Dorf
41;w;130860;9;no;yes;Kleinstadt
40;w;131704;10;no;yes;Land
40;w;143351;9;yes;yes;Dorf
38;w;153689;10;no;yes;Dorf
39;w;132783;8;no;yes;Dorf
40;w;195145;9;no;yes;Dorf
39;w;151928;9;no;yes;Dorf
41;w;139624;9;no;no;Dorf
40;w;130768;9;no;yes;Dorf
41;w;129875;9;no;yes;Dorf
40;w;129459;9;no;yes;Dorf
40;m;143614;8;no;yes;Dorf
39;w;130398;9;no;yes;Dorf
41;w;196582;10;no;yes;Dorf
42;m;158096;9;no;yes;Dorf
41;w;127487;10;yes;yes;Dorf
39;w;136330;9;no;yes;Dorf
38;w;131631;9;no;yes;Land
38;w;159026;9;no;yes;Land
39;m;134466;10;yes;yes;Dorf
41;w;125553;10;no;yes;Dorf
41;w;150425;8;no;yes;Dorf
39;w;135803;9;no;no;Dorf
41;w;145082;9;yes;yes;Dorf
40;m;153882;9;no;yes;Dorf
40;w;117851;10;no;yes;Dorf
40;w;119682;10;no;yes;Dorf
40;w;159115;9;no;yes;Dorf
41;w;138859;9;no;no;Land
39;w;155192;11;no;yes;Dorf
40;m;147901;9;no;yes;Dorf
39;w;156107;10;yes;yes;Dorf
39;w;129099;9;no;no;Dorf
39;w;160659;8;no;yes;Dorf
39;w;141289;10;no;no;Dorf
42;w;140458;9;no;yes;Kleinstadt
40;w;164609;10;yes;yes;Dorf
39;w;125679;9;yes;yes;Groﬂstadt
43;m;167375;10;no;yes;Land
39;m;124791;9;no;yes;Land
40;w;161189;9;no;yes;Dorf
40;w;135522;8;no;yes;Land
41;m;176579;9;no;yes;Dorf
39;w;129645;9;no;yes;Dorf
40;w;145494;8;no;yes;Vorstadt
39;w;120108;9;no;yes;Dorf
38;w;157888;8;no;yes;Dorf
40;w;139582;10;no;yes;Dorf
39;w;179805;9;yes;no;Dorf
40;w;156122;9;no;yes;Dorf
38;w;180667;10;yes;yes;Dorf
41;w;136529;9;no;yes;Dorf
40;w;143528;9;no;yes;Dorf
40;w;157733;9;no;yes;Dorf
41;w;149456;9;no;yes;Vorstadt
40;w;178468;10;no;yes;Dorf
39;w;126952;9;yes;yes;Dorf
39;w;171656;9;no;yes;Dorf
41;w;143375;9;no;yes;Kleinstadt
40;w;149772;9;yes;yes;Land
40;w;150552;9;no;yes;Dorf
40;w;168419;9;no;yes;Vorstadt
41;w;135374;9;no;yes;Dorf
41;w;137676;9;no;yes;Land
39;w;162214;9;no;yes;Dorf
39;w;154401;9;yes;yes;Kleinstadt
41;w;155261;8;no;yes;Dorf
39;w;162798;9;no;yes;Dorf
41;w;165196;8;no;yes;Dorf
40;w;167641;9;no;yes;Dorf
39;w;166801;9;no;yes;Dorf
40;w;131437;9;no;yes;Dorf
40;m;155092;10;no;yes;Land
39;w;123676;9;no;yes;Dorf
40;w;163700;10;yes;no;Dorf
40;w;162653;8;no;yes;Dorf
40;w;112943;9;no;yes;Dorf
40;m;180002;9;no;yes;Dorf
40;w;128072;9;no;no;Dorf
40;w;115656;10;no;yes;Dorf
41;w;139128;9;no;yes;Dorf
40;w;155887;10;no;yes;Dorf
40;w;148044;9;no;yes;Land
39;w;127779;10;no;yes;Land
40;w;147486;9;no;yes;Dorf
39;w;158883;9;no;yes;Dorf
39;w;153373;9;no;yes;Dorf
40;m;126302;9;no;yes;Dorf
42;w;153528;9;no;yes;Dorf
40;w;173584;10;no;yes;Kleinstadt
39;w;155725;8;no;yes;Land
38;w;132775;9;no;yes;Kleinstadt
40;w;165903;8;no;no;Dorf
38;w;184496;9;yes;yes;Dorf
40;w;150968;9;no;yes;Dorf
40;m;126963;8;no;yes;Vorstadt
41;w;138945;9;no;yes;Dorf
39;w;144617;10;yes;yes;Dorf
40;m;144182;9;no;no;Dorf
40;w;144224;8;no;yes;Dorf
40;w;149839;9;no;yes;Dorf
40;w;161374;10;yes;yes;Dorf
41;w;120802;9;no;yes;Dorf
41;w;172679;8;no;yes;Dorf
40;w;136837;8;no;yes;Dorf
42;w;131709;9;no;yes;Dorf
41;w;184805;9;no;yes;Vorstadt
39;w;146877;9;no;yes;Dorf
39;m;150089;9;no;yes;Groﬂstadt
40;w;125651;9;no;yes;Dorf
42;w;140055;9;no;yes;Dorf
41;w;145026;9;no;yes;Dorf
40;w;124297;9;no;yes;Dorf
40;w;154131;9;no;yes;Land
42;w;136611;9;no;yes;Dorf
40;w;174393;9;no;yes;Dorf
40;w;161763;9;no;yes;Dorf
40;w;164386;9;no;no;Dorf
38;w;156203;8;yes;no;Dorf
39;w;136687;10;no;no;Dorf
39;w;166582;9;no;yes;Dorf
39;w;168016;9;no;yes;Land
41;w;117146;8;no;yes;Land
38;w;147631;9;no;yes;Dorf
41;w;184107;9;no;yes;Dorf
39;w;147710;9;no;yes;Dorf
40;w;156635;9;no;yes;Dorf
41;w;147420;9;no;yes;Dorf
39;w;186189;9;no;yes;Dorf
41;w;167938;9;no;no;Dorf
42;w;167834;9;no;yes;Dorf
40;m;114847;9;no;no;Dorf
40;w;150425;11;no;yes;Groﬂstadt
41;w;169399;8;no;yes;Kleinstadt
39;w;174697;9;no;yes;Kleinstadt
39;w;117550;9;yes;yes;Dorf
40;w;157733;9;no;no;Dorf
38;w;148008;10;no;yes;Dorf
40;w;159604;9;no;yes;Land
39;w;128686;9;no;yes;Dorf
39;w;172078;10;no;yes;Vorstadt
41;w;141916;9;no;yes;Dorf
40;w;175694;9;no;yes;Dorf
39;w;164595;10;no;yes;Dorf
39;w;150281;9;no;yes;Dorf
41;w;144043;9;no;yes;Vorstadt
40;w;120535;9;no;yes;Dorf
38;w;180090;9;yes;yes;Dorf
39;w;160817;9;no;yes;Dorf
42;w;175407;9;no;yes;Land
40;w;165826;9;no;yes;Land
41;w;172597;9;no;yes;Vorstadt
42;w;157827;8;no;yes;Land
38;w;141362;10;no;yes;Dorf
40;w;167929;10;no;yes;Dorf
40;w;151708;9;no;no;Kleinstadt
39;w;159356;9;no;yes;Dorf
39;w;132447;9;no;yes;Kleinstadt
40;w;129657;9;no;yes;Dorf
40;w;148543;9;no;yes;Kleinstadt
40;w;191977;9;no;yes;Land
39;w;160698;8;no;yes;Dorf
39;w;151112;8;no;no;Dorf
38;m;155832;8;no;yes;Dorf
41;w;155854;9;no;yes;Kleinstadt
40;w;130429;9;no;yes;Dorf
41;w;160583;9;no;yes;Dorf
40;w;157287;8;no;yes;Dorf
41;m;153693;10;no;yes;Dorf
39;w;154246;9;yes;yes;Dorf
40;w;111731;9;no;yes;Dorf
42;m;168707;9;no;yes;Dorf
42;w;120824;9;no;yes;Dorf
38;w;131615;9;yes;yes;Kleinstadt
39;w;168501;9;no;no;Dorf
39;w;118675;9;no;yes;Dorf
39;w;145513;9;no;yes;Dorf
40;w;167959;8;no;yes;Dorf
40;w;153353;9;no;yes;Dorf
42;m;131805;9;no;yes;Dorf
39;m;113944;9;no;yes;Vorstadt
38;w;140922;9;no;yes;Dorf
40;w;155713;9;no;yes;Dorf
39;w;137756;9;no;yes;Dorf
41;w;127913;9;no;yes;Kleinstadt
41;w;139249;9;no;no;Dorf
40;w;122826;9;no;yes;Dorf
41;w;158943;8;yes;yes;Vorstadt
41;w;168651;9;yes;yes;Dorf
43;w;147439;8;no;no;Dorf
39;w;125580;8;no;yes;Dorf
41;w;151683;10;no;yes;Kleinstadt
40;w;164048;8;no;yes;Dorf
40;w;143871;9;no;yes;Dorf
40;w;159347;9;no;yes;Dorf
40;w;192803;9;no;yes;Dorf
39;w;146463;10;no;yes;Land
42;w;123860;9;no;no;Dorf
41;w;161868;10;yes;yes;Dorf
40;w;148859;8;no;no;Dorf
39;w;136514;10;yes;yes;Dorf
41;m;135812;9;yes;yes;Dorf
42;w;162229;9;no;yes;Dorf
40;w;124793;9;no;yes;Dorf
41;w;201951;9;no;yes;Dorf
38;w;168578;9;yes;yes;Dorf
40;w;135982;9;no;yes;Dorf
42;w;145209;9;no;yes;Dorf
40;w;178734;9;no;yes;Dorf
41;w;119952;9;no;no;Dorf
40;w;131619;9;no;yes;Dorf
39;w;176787;9;no;yes;Dorf
41;w;159680;8;no;yes;Dorf
39;w;170685;9;no;yes;Dorf
40;w;157505;10;no;yes;Dorf
38;w;160417;9;no;yes;Dorf
41;w;124836;8;no;yes;Dorf
40;w;147313;10;no;yes;Dorf
42;w;136153;9;no;yes;Dorf
39;m;140159;9;yes;yes;Dorf
41;w;149016;8;no;no;Dorf
39;w;132482;9;no;yes;Dorf
40;w;164366;9;no;yes;Dorf
40;w;137595;9;no;yes;Kleinstadt
41;m;119427;9;yes;yes;Dorf
41;w;187923;8;no;yes;Dorf
38;w;122230;10;no;yes;Dorf
41;w;173994;9;no;yes;Kleinstadt
40;w;135987;9;no;yes;Dorf
39;w;126730;10;yes;yes;Dorf
39;w;133615;8;no;yes;Dorf
40;w;168625;9;no;yes;Land
38;w;183222;9;no;yes;Dorf
40;w;148762;8;no;yes;Dorf
41;w;160214;10;yes;yes;Kleinstadt
40;w;165734;9;yes;yes;Land
41;w;184527;9;no;yes;Kleinstadt
40;w;185676;9;no;yes;Dorf
41;w;148663;9;no;yes;Dorf
38;w;155578;9;no;yes;Dorf
41;w;169215;9;no;yes;Dorf
40;m;164871;9;no;yes;Dorf
40;w;149123;10;no;yes;Land
38;w;152292;9;no;yes;Dorf
41;w;135947;9;no;no;Dorf
40;w;124785;9;no;yes;Dorf
40;w;132922;9;no;yes;Dorf
41;w;186155;10;no;yes;Land
41;w;125321;9;no;yes;Kleinstadt
38;w;142775;8;no;yes;Dorf
41;w;148892;9;no;no;Dorf
40;w;154181;9;no;yes;Dorf
41;w;160978;9;no;yes;Dorf
42;w;176584;9;no;no;Dorf
38;w;154899;8;no;yes;Dorf
40;w;122400;9;no;yes;Dorf
40;w;161003;8;no;yes;Dorf
39;w;179788;9;no;yes;Land
40;m;122376;8;no;yes;Dorf
40;w;185935;10;no;yes;Dorf
40;w;155988;9;no;yes;Dorf
41;w;162276;9;no;yes;Dorf
40;m;131542;9;no;no;Land
42;w;132563;8;no;yes;Dorf
38;w;168750;9;no;yes;Vorstadt
40;w;141328;10;no;yes;Land
37;w;165897;9;no;yes;Dorf
38;w;144053;9;no;yes;Land
40;w;130832;10;no;yes;Dorf
40;w;145953;8;no;yes;Kleinstadt
40;w;165084;9;no;yes;Dorf
40;w;156690;9;no;yes;Dorf
40;w;145394;9;no;yes;Dorf
42;w;152581;9;no;yes;Dorf
39;w;151677;9;no;yes;Dorf
40;w;176526;8;no;yes;Dorf
40;w;168042;8;yes;no;Dorf
40;w;108300;9;no;yes;Kleinstadt
41;m;132991;9;yes;yes;Dorf
40;w;200869;9;no;yes;Land
40;w;158980;9;no;yes;Dorf
40;w;113944;9;yes;yes;Dorf
39;w;133644;9;no;yes;Dorf
39;w;172625;9;no;yes;Groﬂstadt
42;w;150828;10;no;yes;Dorf
40;w;139181;9;yes;yes;Dorf
39;w;150487;10;no;yes;Dorf
39;w;170231;9;no;yes;Dorf
39;w;157270;8;no;yes;Dorf
39;w;151135;9;no;yes;Land
40;w;158456;9;no;yes;Groﬂstadt
41;w;114711;9;no;yes;Dorf
39;w;139568;9;no;yes;Land
40;w;186453;10;no;yes;Dorf
41;w;160107;10;no;yes;Dorf
40;w;125840;9;no;yes;Dorf
39;w;153554;9;yes;yes;Land
40;w;155195;9;no;yes;Dorf
40;w;123545;10;no;yes;Land
41;w;180846;10;no;yes;Land
41;w;135241;9;no;yes;Dorf
39;w;115578;9;yes;yes;Dorf
40;w;117955;9;no;yes;Vorstadt
40;w;118781;10;no;yes;Dorf
42;w;148467;9;no;yes;Dorf
39;w;165723;9;no;no;Dorf
38;w;163495;9;yes;yes;Dorf
40;w;157593;9;no;no;Kleinstadt
40;w;170141;9;no;yes;Dorf
39;w;137991;8;no;yes;Land
40;w;153798;9;no;yes;Dorf
41;m;176305;9;yes;yes;Dorf
40;w;183322;9;no;yes;Dorf
39;w;198973;9;no;yes;Dorf
41;w;101265;9;no;yes;Land
41;w;147622;8;no;yes;Dorf
40;w;155825;9;yes;yes;Dorf
40;w;195690;10;yes;yes;Dorf
39;w;140131;9;no;yes;Dorf
39;w;160021;9;yes;yes;Dorf
41;w;134571;8;no;yes;Dorf
39;w;115027;9;no;yes;Dorf
38;w;134451;9;no;yes;Dorf
41;w;176250;9;no;yes;Dorf
40;w;134791;9;no;yes;Dorf
39;w;132371;9;no;yes;Dorf
41;w;178660;9;yes;yes;Kleinstadt
40;w;152219;8;no;yes;Groﬂstadt
43;w;96425;9;no;yes;Land
39;w;170007;9;no;yes;Dorf
38;w;162589;10;yes;yes;Dorf
41;w;127619;9;no;yes;Land
40;w;149348;8;no;yes;Dorf
41;m;171956;9;no;yes;Dorf
40;w;105699;9;yes;yes;Dorf
40;w;151981;8;no;yes;Land
40;w;144121;9;no;yes;Dorf
40;w;123095;8;no;yes;Dorf
40;w;167212;9;no;yes;Dorf
42;w;137265;8;no;yes;Dorf
40;w;125604;9;no;yes;Dorf
40;w;111669;9;no;yes;Land
42;w;168290;10;no;yes;Dorf
42;w;138633;9;no;yes;Dorf
40;w;142830;9;yes;yes;Dorf
42;w;162192;8;no;yes;Land
39;w;144331;10;no;yes;Kleinstadt
39;w;123150;9;no;yes;Dorf
40;w;129686;8;no;yes;Land
40;m;145510;8;no;yes;Dorf
38;w;151527;10;no;yes;Land
41;w;159733;10;no;yes;Dorf
40;w;168417;9;no;yes;Dorf
38;w;152990;8;no;yes;Dorf
40;w;120881;9;no;yes;Dorf
41;w;133668;9;yes;yes;Dorf
40;w;157880;9;no;yes;Dorf
40;w;133174;9;yes;yes;Dorf
41;w;136876;9;no;yes;Dorf
40;m;125743;9;no;no;Dorf
41;w;136454;8;no;yes;Dorf
40;w;163008;8;no;yes;Dorf
39;w;151871;9;no;no;Dorf
39;w;149675;10;no;yes;Dorf
41;w;192685;9;no;yes;Land
40;w;156305;9;no;yes;Dorf
40;w;142389;9;yes;yes;Dorf
39;w;138317;10;no;yes;Dorf
40;w;141814;8;no;yes;Kleinstadt
40;w;127526;9;no;yes;Vorstadt
